State,County,Name,Year,Total,Native,Foreign-born,Percent Foreign-born
Georgia,Henry County,"Henry County, Georgia",2023,254613.0,228797.0,25816.0,10.139309461810669
Georgia,Houston County,"Houston County, Georgia",2023,171974.0,159763.0,12211.0,7.100491934827358
Georgia,Jackson County,"Jackson County, Georgia",2023,88615.0,81376.0,7239.0,8.169045872594934
Georgia,Liberty County,"Liberty County, Georgia",2023,69210.0,65234.0,3976.0,5.744834561479555
Georgia,Lowndes County,"Lowndes County, Georgia",2023,120712.0,114600.0,6112.0,5.063291139240507
Georgia,Muscogee County,"Muscogee County, Georgia",2023,201877.0,191632.0,10245.0,5.074872323246333
Georgia,Newton County,"Newton County, Georgia",2023,120135.0,111574.0,8561.0,7.126149748199942
Georgia,Paulding County,"Paulding County, Georgia",2023,183164.0,168235.0,14929.0,8.150619117293791
Georgia,Richmond County,"Richmond County, Georgia",2023,205414.0,196705.0,8709.0,4.239730495487162
Georgia,Rockdale County,"Rockdale County, Georgia",2023,95987.0,84033.0,11954.0,12.453769781324555
Georgia,Spalding County,"Spalding County, Georgia",2023,69946.0,67054.0,2892.0,4.134618133989077
Georgia,Troup County,"Troup County, Georgia",2023,70742.0,65751.0,4991.0,7.05521472392638
Georgia,Walker County,"Walker County, Georgia",2023,69489.0,68567.0,922.0,1.32682870670178
Georgia,Walton County,"Walton County, Georgia",2023,106702.0,96494.0,10208.0,9.566830987235479
Georgia,Whitfield County,"Whitfield County, Georgia",2023,103687.0,80506.0,23181.0,22.356708169780205
Hawaii,Hawaii County,"Hawaii County, Hawaii",2023,207615.0,185287.0,22328.0,10.75452159044385
Hawaii,Honolulu County,"Honolulu County, Hawaii",2023,989408.0,800167.0,189241.0,19.1266898994146
Hawaii,Kauai County,"Kauai County, Hawaii",2023,73851.0,60445.0,13406.0,18.152767057995153
Hawaii,Maui County,"Maui County, Hawaii",2023,164244.0,133464.0,30780.0,18.740410608606705
Idaho,Ada County,"Ada County, Idaho",2023,524673.0,492295.0,32378.0,6.171081797614895
Idaho,Bannock County,"Bannock County, Idaho",2023,90400.0,87837.0,2563.0,2.8351769911504427
Idaho,Bonneville County,"Bonneville County, Idaho",2023,131366.0,126433.0,4933.0,3.755157346649818
Idaho,Canyon County,"Canyon County, Idaho",2023,257674.0,236611.0,21063.0,8.174282232588464
Idaho,Kootenai County,"Kootenai County, Idaho",2023,185010.0,179655.0,5355.0,2.894438138479001
Idaho,Twin Falls County,"Twin Falls County, Idaho",2023,95156.0,87655.0,7501.0,7.88284501240069
Illinois,Champaign County,"Champaign County, Illinois",2023,205644.0,177151.0,28493.0,13.85549785065453
Illinois,Cook County,"Cook County, Illinois",2023,5087072.0,3956112.0,1130960.0,22.23204232218455
Illinois,DeKalb County,"DeKalb County, Illinois",2023,100288.0,93737.0,6551.0,6.532187300574346
Illinois,DuPage County,"DuPage County, Illinois",2023,921213.0,734459.0,186754.0,20.272618818883366
Illinois,Kane County,"Kane County, Illinois",2023,514982.0,425294.0,89688.0,17.41575433704479
Illinois,Kankakee County,"Kankakee County, Illinois",2023,105940.0,98594.0,7346.0,6.9341136492354165
