Name,Year,Total,Native,Foreign-born,Percent Foreign-born
Ohio,2009,11542645.0,11109315.0,433330.0,3.754165531383838
Oklahoma,2009,3687050.0,3497209.0,189841.0,5.148858843791107
Oregon,2009,3825657.0,3458455.0,367202.0,9.598403620606867
Pennsylvania,2009,12604767.0,11913525.0,691242.0,5.483972849319627
Rhode Island,2009,1053209.0,919751.0,133458.0,12.67155901630161
South Carolina,2009,4561242.0,4356109.0,205133.0,4.497305777680729
South Dakota,2009,812383.0,790618.0,21765.0,2.6791550290934203
Tennessee,2009,6296254.0,6030596.0,265658.0,4.2193024614318295
Texas,2009,24782302.0,20797063.0,3985239.0,16.080987956647448
Utah,2009,2784572.0,2566430.0,218142.0,7.833950783100599
Vermont,2009,621760.0,601223.0,20537.0,3.303042974781266
Virginia,2009,7882590.0,7076848.0,805742.0,10.221792583402156
Washington,2009,6664195.0,5853558.0,810637.0,12.164064827034624
West Virginia,2009,1819777.0,1796648.0,23129.0,1.2709799057796642
Wisconsin,2009,5654774.0,5398689.0,256085.0,4.528651366084658
Wyoming,2009,544270.0,527162.0,17108.0,3.1432928509747002
Alabama,2010,4785298.0,4616702.0,168596.0,3.523207959044557
Alaska,2010,713985.0,664666.0,49319.0,6.907568086164276
Arizona,2010,6413737.0,5557074.0,856663.0,13.356690491050694
Arkansas,2010,2921606.0,2789939.0,131667.0,4.506665169773063
California,2010,37349363.0,27198934.0,10150429.0,27.176980233906534
Colorado,2010,5049071.0,4551966.0,497105.0,9.845474543732896
Connecticut,2010,3577073.0,3089953.0,487120.0,13.617837824388824
Delaware,2010,899769.0,827901.0,71868.0,7.987383428413293
District of Columbia,2010,604453.0,522719.0,81734.0,13.52197772200651
Florida,2010,18843326.0,15185283.0,3658043.0,19.412936973016333
Georgia,2010,9712587.0,8769628.0,942959.0,9.708628607393683
Hawaii,2010,1363621.0,1115408.0,248213.0,18.202491748073697
Idaho,2010,1571450.0,1484352.0,87098.0,5.542524420121544
Illinois,2010,12843166.0,11083307.0,1759859.0,13.702688262380164
Indiana,2010,6490621.0,6189832.0,300789.0,4.634209885309896
Iowa,2010,3049883.0,2910406.0,139477.0,4.573191824079808
Kansas,2010,2859169.0,2672227.0,186942.0,6.538333340911293
Kentucky,2010,4346266.0,4205683.0,140583.0,3.2345696282740173
Louisiana,2010,4544228.0,4371362.0,172866.0,3.8040784925404267
Maine,2010,1327567.0,1281901.0,45666.0,3.4398263891765914
Maryland,2010,5785982.0,4982287.0,803695.0,13.89038196109148
Massachusetts,2010,6557254.0,5573690.0,983564.0,14.999632468103263
Michigan,2010,9877574.0,9289827.0,587747.0,5.950317355253425
Minnesota,2010,5310584.0,4932101.0,378483.0,7.12695628202096
Mississippi,2010,2970036.0,2908608.0,61428.0,2.0682577584918165
Missouri,2010,5996231.0,5763694.0,232537.0,3.8780527301233056
Montana,2010,990898.0,970867.0,20031.0,2.0214996901800184
Nebraska,2010,1830429.0,1718251.0,112178.0,6.128508672010769
Nevada,2010,2704642.0,2196184.0,508458.0,18.799456637884052
New Hampshire,2010,1316759.0,1247017.0,69742.0,5.296489334798547
New Jersey,2010,8801624.0,6957043.0,1844581.0,20.957280156480213
New Mexico,2010,2065932.0,1860791.0,205141.0,9.929707270132802
New York,2010,19392283.0,15094671.0,4297612.0,22.16145463636231
North Carolina,2010,9561558.0,8842421.0,719137.0,7.521127832932667
North Dakota,2010,674499.0,657860.0,16639.0,2.466868001286881
Ohio,2010,11536182.0,11066434.0,469748.0,4.0719537885237935
Oklahoma,2010,3761702.0,3555320.0,206382.0,5.486399507456997
Oregon,2010,3838957.0,3463214.0,375743.0,9.787632422035465
Pennsylvania,2010,12709630.0,11970562.0,739068.0,5.81502372610375
Rhode Island,2010,1052886.0,918551.0,134335.0,12.758741212249
South Carolina,2010,4636312.0,4417818.0,218494.0,4.712668172461215
South Dakota,2010,816463.0,794225.0,22238.0,2.723699665508419
Tennessee,2010,6356897.0,6067904.0,288993.0,4.546133121238239
Texas,2010,25257114.0,21115083.0,4142031.0,16.399462741467612
